abstract_sku,concrete_sku,name.en_US,name.de_DE,description.en_US,description.de_DE,is_searchable.en_US,is_searchable.de_DE,is_quantity_splittable
SPORTS10,SPORTS10C,"Kalenji Men's Running Lightweight Shorts Dry","Kalenji Men's Running Lightweight Shorts Dry","Kalenji Men's Running Lightweight Shorts Dry | Our team designed these essential men's running shorts for travelling light when hiking in warm weather!, The lightweight, breathable fabric wicks away perspiration. The key pocket is for carrying your key with you., Moisture wicking, The moisture-wicking fabric keeps you dry during (and after) your jog!, Pockets, Keep your keys safe in the small interior pocket.","Kalenji Men's Running Lightweight Shorts Dry | Our team designed these essential men's running shorts for travelling light when hiking in warm weather!, The lightweight, breathable fabric wicks away perspiration. The key pocket is for carrying your key with you., Moisture wicking, The moisture-wicking fabric keeps you dry during (and after) your jog!, Pockets, Keep your keys safe in the small interior pocket.",1,1,0
SPORTS11,SPORTS11C,"Trek 900 Waterproof Backpacking Hat","Trek 900 Waterproof Backpacking Hat","Trek 900 Waterproof Backpacking Hat | Our team of backpacking and hiking enthusiasts has designed this hat to protect you from the rain during your treks, The rain will no longer slow you down thanks to this waterproof backpacking hat!, Waterproof, Offers protection from the rain for 2 hours during a shower (60 liters h/m²)., Ventilation, Laser perforations on the top of the hat let air circulate, Durability, 3-layer fabric with ripstop weave for greater tear resistance, Breathability, Waterproof and breathable membrane that lets water vapor through., Sun protection, This hat meets the requirements for UV-protective labeling, Weight, The hat weighs around 2.1 oz","Trek 900 Waterproof Backpacking Hat | Our team of backpacking and hiking enthusiasts has designed this hat to protect you from the rain during your treks, The rain will no longer slow you down thanks to this waterproof backpacking hat!, Waterproof, Offers protection from the rain for 2 hours during a shower (60 liters h/m²)., Ventilation, Laser perforations on the top of the hat let air circulate, Durability, 3-layer fabric with ripstop weave for greater tear resistance, Breathability, Waterproof and breathable membrane that lets water vapor through., Sun protection, This hat meets the requirements for UV-protective labeling, Weight, The hat weighs around 2.1 oz",1,1,0
SPORTS12,SPORTS12C,"Tarmak SS100 Beginner Basketball Shoes Kids'","Tarmak SS100 Beginner Basketball Shoes Kids'","Tarmak SS100 Beginner Basketball Shoes Kids' | These shoes were designed for beginner youth basketball players., This basketball shoe is made with a highly durable rubber that provides good grip for basketball play., Fit, This shoe has a high-rise upper that firmly supports the foot., Grip, More durable rubber keeps you from slipping!, Cushioning, Made with a 5 mm thick EVA foam insole that absorbs shocks., Breathability, A mesh upper promotes perspiration wicking.","Tarmak SS100 Beginner Basketball Shoes Kids' | These shoes were designed for beginner youth basketball players., This basketball shoe is made with a highly durable rubber that provides good grip for basketball play., Fit, This shoe has a high-rise upper that firmly supports the foot., Grip, More durable rubber keeps you from slipping!, Cushioning, Made with a 5 mm thick EVA foam insole that absorbs shocks., Breathability, A mesh upper promotes perspiration wicking.",1,1,0
SPORTS13,SPORTS13C,"Racerback Workout Tank Top Women's","Racerback Workout Tank Top Women's","Racerback Workout Tank Top Women's | A simple, comfortable tank top that goes with anything, and a great basic for any type of fitness activity., This light, breathable, close-fitting tank top has so much going for it. Plus, it comes in a range of vibrant colors. The hardest thing is choosing your favorite!, Stretchy, Get moving! This tank top was designed for total freedom of movement., Moisture wicking, The breathable fabric dries quickly to keep you comfy while working out!, Lightweight, Maximum comfort from the lightweight, draping, and stretchy fabric.","Racerback Workout Tank Top Women's | A simple, comfortable tank top that goes with anything, and a great basic for any type of fitness activity., This light, breathable, close-fitting tank top has so much going for it. Plus, it comes in a range of vibrant colors. The hardest thing is choosing your favorite!, Stretchy, Get moving! This tank top was designed for total freedom of movement., Moisture wicking, The breathable fabric dries quickly to keep you comfy while working out!, Lightweight, Maximum comfort from the lightweight, draping, and stretchy fabric.",1,1,0
SPORTS14,SPORTS14C,"Forclaz Trek 500 Ventilated Hiking Cap","Forclaz Trek 500 Ventilated Hiking Cap","Forclaz Trek 500 Ventilated Hiking Cap | Our passionate mountain team designed this cap for backpacking., When climbing, in intense heat, the cap's vents allow air to circulate, lessening the impact of the heat., Ventilation, Generous vents in ventilated fabric let air circulate., Quick dry, 100% polyamide quick-drying fabric., Durability, The crosshatched fabric guarantees better resistance to tearing., Anatomical design, Adjustment system that allows you to adjust head size from 20” to 23.6”, Weight, The cap weighs around 1.8 oz","Forclaz Trek 500 Ventilated Hiking Cap | Our passionate mountain team designed this cap for backpacking., When climbing, in intense heat, the cap's vents allow air to circulate, lessening the impact of the heat., Ventilation, Generous vents in ventilated fabric let air circulate., Quick dry, 100% polyamide quick-drying fabric., Durability, The crosshatched fabric guarantees better resistance to tearing., Anatomical design, Adjustment system that allows you to adjust head size from 20” to 23.6”, Weight, The cap weighs around 1.8 oz",1,1,0
SPORTS15,SPORTS15C,"Domyos 120 Fitness Training Shorts Men's","Domyos 120 Fitness Training Shorts Men's","Domyos 120 Fitness Training Shorts Men's | These ultra-comfortable fitness shorts offer excellent value, For fitness, you need shorts that can cope with anything! With their terry towelling waistband and elasticated fabric, these shorts offer the best value in the range. They'll be an instant hit!, Moisture wicking, Stay dry! The fabric dries and wicks away perspiration quickly., Ventilation, No stress: the ventilated fabric between the legs quickly wicks perspiration.","Domyos 120 Fitness Training Shorts Men's | These ultra-comfortable fitness shorts offer excellent value, For fitness, you need shorts that can cope with anything! With their terry towelling waistband and elasticated fabric, these shorts offer the best value in the range. They'll be an instant hit!, Moisture wicking, Stay dry! The fabric dries and wicks away perspiration quickly., Ventilation, No stress: the ventilated fabric between the legs quickly wicks perspiration.",1,1,0
SPORTS16,SPORTS16C,"Btwin 100 Road Cycling Tights Men's","Btwin 100 Road Cycling Tights Men's","Btwin 100 Road Cycling Tights Men's | We've designed this product so you can keep cycling through the first autumnal chills, Start road cycling in comfort with these cycling tights thanks to the foam pad that absorbs vibrations while reducing rubbing., Seat comfort, Ergonomic foam pad., Breathability, Breathable fabric for good perspiration wicking, Anatomical design, Elastic around the waist helps hold the tights in place., Irritation reduction, The shape of the pad protects from chafing.","Btwin 100 Road Cycling Tights Men's | We've designed this product so you can keep cycling through the first autumnal chills, Start road cycling in comfort with these cycling tights thanks to the foam pad that absorbs vibrations while reducing rubbing., Seat comfort, Ergonomic foam pad., Breathability, Breathable fabric for good perspiration wicking, Anatomical design, Elastic around the waist helps hold the tights in place., Irritation reduction, The shape of the pad protects from chafing.",1,1,0
SPORTS17,SPORTS17C,"Men's Running Breathable Tight Shorts Dry - black","Men's Running Breathable Tight Shorts Dry - black","Men's Running Breathable Tight Shorts Dry - black | These breathable cropped trousers were designed by our passionate team to keep you dry when running in summer., These men's running cropped trousers are made with technical fabric using polyester that absorbs and wicks away perspiration to keep you dry. Key pocket so you have your keys on you., Moisture wicking, The moisture-wicking fabric keeps you dry during (and after) your jog!, Pockets, Small inside pocket to keep your keys safe.","Men's Running Breathable Tight Shorts Dry - black | These breathable cropped trousers were designed by our passionate team to keep you dry when running in summer., These men's running cropped trousers are made with technical fabric using polyester that absorbs and wicks away perspiration to keep you dry. Key pocket so you have your keys on you., Moisture wicking, The moisture-wicking fabric keeps you dry during (and after) your jog!, Pockets, Small inside pocket to keep your keys safe.",1,1,0
SPORTS18,SPORTS18C,"Women's Slim-Fit Salto Fitness Leggings 100 - Black","Women's Slim-Fit Salto Fitness Leggings 100 - Black","Women's Slim-Fit Salto Fitness Leggings 100 - Black | They're THE must-have basic leggings. They've been designed by our team to fit seamlessly into your workout routine or your daily life., Because there's no such thing as a leggings-free wardrobe, we've created a pair that'll take pride of place! With their soft, stretchy cotton, they're sure to be your new favourite leggings., Stretchy, 8% elastane so you can move freely at all times., Softness, 92% cotton for unrivalled comfort and softness!","Women's Slim-Fit Salto Fitness Leggings 100 - Black | They're THE must-have basic leggings. They've been designed by our team to fit seamlessly into your workout routine or your daily life., Because there's no such thing as a leggings-free wardrobe, we've created a pair that'll take pride of place! With their soft, stretchy cotton, they're sure to be your new favourite leggings., Stretchy, 8% elastane so you can move freely at all times., Softness, 92% cotton for unrivalled comfort and softness!",1,1,0
SPORTS19,SPORTS19C,"Men's travel backpacking Merino wool t-shirt - TRAVEL 100 - yellow","Men's travel backpacking Merino wool t-shirt - TRAVEL 100 - yellow","Men's travel backpacking Merino wool t-shirt - TRAVEL 100 - yellow | Our backpacker-designers created this wool T-shirt for travelling around the world on foot for weeks at a time with complete peace of mind., The best material for trekkers on the go!, Odor control, The component reduces the odours from perspiration. ISO 17299-3 laboratory test, Quick dry, The addition of acrylic to the fabric speeds up the drying time, Durability, The blend of merino wool and synthetics makes the T-shirt more durable, Breathability, The wool is breathable and can be worn in summer or winter, Softness, Ultra-fine (19.5 microns) Merino wool, Weight, The T-shirt weighs just 148 g in size L. Fabric 155 g/sqm","Men's travel backpacking Merino wool t-shirt - TRAVEL 100 - yellow | Our backpacker-designers created this wool T-shirt for travelling around the world on foot for weeks at a time with complete peace of mind., The best material for trekkers on the go!, Odor control, The component reduces the odours from perspiration. ISO 17299-3 laboratory test, Quick dry, The addition of acrylic to the fabric speeds up the drying time, Durability, The blend of merino wool and synthetics makes the T-shirt more durable, Breathability, The wool is breathable and can be worn in summer or winter, Softness, Ultra-fine (19.5 microns) Merino wool, Weight, The T-shirt weighs just 148 g in size L. Fabric 155 g/sqm",1,1,0
SPORTS20,SPORTS20C,"Kiprun Ekiden Running Socks Adult 3-pack","Kiprun Ekiden Running Socks Adult 3-pack","Kiprun Ekiden Running Socks Adult 3-pack | Our design teams developed these running socks to protect your feet from  blisters while you run., Cotton yarn and thin, ventilated knit. Ideal for running., Odor control, Knitted with majority cotton yarn, Moisture wicking, Very ventilated knit, particularly on the top of the foot., Stability, Elastic strip over the top of the foot arch to hold the sock in place.","Kiprun Ekiden Running Socks Adult 3-pack | Our design teams developed these running socks to protect your feet from  blisters while you run., Cotton yarn and thin, ventilated knit. Ideal for running., Odor control, Knitted with majority cotton yarn, Moisture wicking, Very ventilated knit, particularly on the top of the foot., Stability, Elastic strip over the top of the foot arch to hold the sock in place.",1,1,0
SPORTS21,SPORTS21C,"Run Dry+ Long-Sleeved Half-Zip Running T-Shirt Women's","Run Dry+ Long-Sleeved Half-Zip Running T-Shirt Women's","Run Dry+ Long-Sleeved Half-Zip Running T-Shirt Women's | Our design team developed a long-sleeved T-shirt for women seeking a breathable T-shirt for running in cool or mild weather., A breathable half-zipper long-sleeved jersey with good coverage for running all year round!, Moisture wicking, The fabric wicks perspiration away to keep you dry., Softness, A soft-touch blend of polyester and spandex that feels like cotton., Ventilation, Mesh under the arms and half-zipper for superior air flow.","Run Dry+ Long-Sleeved Half-Zip Running T-Shirt Women's | Our design team developed a long-sleeved T-shirt for women seeking a breathable T-shirt for running in cool or mild weather., A breathable half-zipper long-sleeved jersey with good coverage for running all year round!, Moisture wicking, The fabric wicks perspiration away to keep you dry., Softness, A soft-touch blend of polyester and spandex that feels like cotton., Ventilation, Mesh under the arms and half-zipper for superior air flow.",1,1,0
SPORTS22,SPORTS22C,"Wedze 500 Piste Ski Jacket Women's","Wedze 500 Piste Ski Jacket Women's","Wedze 500 Piste Ski Jacket Women's | Do you ski regularly, even in cold weather? With its down padding, this skiing jacket will provide plenty of warmth., In addition to being very warm, this jacket has a waterproof membrane and taped seams for excellent protection against bad weather., Waterproof, GOOD: 8000 mm-rated membrane and taped seams to stay dry., Warmth, Hybrid filling: down in the body and recycled padding in the arms., Breathability, Breathable fabric and back ventilation strip., Water repellent, Water-repellent outer fabric that does not absorb water., Adjustable, Hood and cuff adjustment., Pockets, 5 pockets: 2 hand, 1 ski pass, 1 inner, and 1 goggle (mesh)., User comfort, A soft, warm collar for guaranteed protection and comfort., Easy to use, Automatic snow skirt, no more adjustment hassles.","Wedze 500 Piste Ski Jacket Women's | Do you ski regularly, even in cold weather? With its down padding, this skiing jacket will provide plenty of warmth., In addition to being very warm, this jacket has a waterproof membrane and taped seams for excellent protection against bad weather., Waterproof, GOOD: 8000 mm-rated membrane and taped seams to stay dry., Warmth, Hybrid filling: down in the body and recycled padding in the arms., Breathability, Breathable fabric and back ventilation strip., Water repellent, Water-repellent outer fabric that does not absorb water., Adjustable, Hood and cuff adjustment., Pockets, 5 pockets: 2 hand, 1 ski pass, 1 inner, and 1 goggle (mesh)., User comfort, A soft, warm collar for guaranteed protection and comfort., Easy to use, Automatic snow skirt, no more adjustment hassles.",1,1,0
SPORTS23,SPORTS23C,"Men's Snowboard Jacket - SNB 100 Grey","Men's Snowboard Jacket - SNB 100 Grey","Men's Snowboard Jacket - SNB 100 Grey | Snowboard enthusiasts have developed this jacket to discover snowboarding. Its fit is designed to accommodate back protection., With its comfortable fit and freedom of movement, this jacket offers warmth, waterproofing (10,000 mm) and breathability. an ideal combination for a week of riding., Durability, Components resist abrasion, tearing and traction force., Waterproof, 10,000 mm-rated coating; Taped main seams, Freedom of movement, Regular fit, better freedom of movement, even with back protection., Warmth, 90% Recycled Filling:  Body 80 g/sqm, sleeves and hood 60 g/sqm, Breathability, Breathable component that facilitates perspiration wicking 10,000 g/sqm/24hr, Adjustable, Adjustable cuffs, adjustable hood, Pockets, 4 pockets: 2 hand, 1 chest, 1 inner pocket. Integrated ski pass holder","Men's Snowboard Jacket - SNB 100 Grey | Snowboard enthusiasts have developed this jacket to discover snowboarding. Its fit is designed to accommodate back protection., With its comfortable fit and freedom of movement, this jacket offers warmth, waterproofing (10,000 mm) and breathability. an ideal combination for a week of riding., Durability, Components resist abrasion, tearing and traction force., Waterproof, 10,000 mm-rated coating; Taped main seams, Freedom of movement, Regular fit, better freedom of movement, even with back protection., Warmth, 90% Recycled Filling:  Body 80 g/sqm, sleeves and hood 60 g/sqm, Breathability, Breathable component that facilitates perspiration wicking 10,000 g/sqm/24hr, Adjustable, Adjustable cuffs, adjustable hood, Pockets, 4 pockets: 2 hand, 1 chest, 1 inner pocket. Integrated ski pass holder",1,1,0
SPORTS24,SPORTS24C,"Kalenji Run Wind Running Sleeveless Wind Jacket Men's","Kalenji Run Wind Running Sleeveless Wind Jacket Men's","Kalenji Run Wind Running Sleeveless Wind Jacket Men's | Our design team put together this sleeveless wind jacket for men running in windy weather, while offering plenty of freedom of movement., Our design team put together this sleeveless wind jacket for men running in windy weather, while offering plenty of freedom of movement., Windproof, You're protected from the wind while running thanks to the main windproof fabric, Breathability, The component is breathable and the jacket has air vents in the back., Pockets, The jacket has a zipped pocket for gloves or keys.","Kalenji Run Wind Running Sleeveless Wind Jacket Men's | Our design team put together this sleeveless wind jacket for men running in windy weather, while offering plenty of freedom of movement., Our design team put together this sleeveless wind jacket for men running in windy weather, while offering plenty of freedom of movement., Windproof, You're protected from the wind while running thanks to the main windproof fabric, Breathability, The component is breathable and the jacket has air vents in the back., Pockets, The jacket has a zipped pocket for gloves or keys.",1,1,0
SPORTS25,SPORTS25C,"Wedze 180 Ski Jacket Women's","Wedze 180 Ski Jacket Women's","Wedze 180 Ski Jacket Women's | Warm and comfortable, this functional jacket lets you enjoy your skiing in the best conditions., The waterproofness of this jacket is increased with taped main seams to keep you dry in case of bad weather., Waterproof, CORRECT: 3,000 mm-rated coating and partially taped seams., Warmth, Fill for insulation., Adjustable, Adjustable jacket hem and cuffs, removable synthetic fur hood., Breathability, Breathable fabric., Water repellent, Water-repellent outer fabric that does not get waterlogged., Pockets, 4 pockets: 2 hand, 1 ski pass, 1 inner., User comfort, A warm, soft collar for guaranteed protection and comfort., Easy to use, Magnetic fabric flap to protect the top of the jacket zipper from bad weather.","Wedze 180 Ski Jacket Women's | Warm and comfortable, this functional jacket lets you enjoy your skiing in the best conditions., The waterproofness of this jacket is increased with taped main seams to keep you dry in case of bad weather., Waterproof, CORRECT: 3,000 mm-rated coating and partially taped seams., Warmth, Fill for insulation., Adjustable, Adjustable jacket hem and cuffs, removable synthetic fur hood., Breathability, Breathable fabric., Water repellent, Water-repellent outer fabric that does not get waterlogged., Pockets, 4 pockets: 2 hand, 1 ski pass, 1 inner., User comfort, A warm, soft collar for guaranteed protection and comfort., Easy to use, Magnetic fabric flap to protect the top of the jacket zipper from bad weather.",1,1,0
SPORTS26,SPORTS26C,"Trek 100 Polyester Backpacking Liner Gloves","Trek 100 Polyester Backpacking Liner Gloves","Trek 100 Polyester Backpacking Liner Gloves | Designed by backpacking enthusiasts, these polyester liner gloves give you the warmth and durability you need for walking in cool weather., Their fleece material offers great durability and warmth for use in the spring and fall., Warmth, Thick fleece with a density of 5.6 oz/m² Heat level 1/5, Breathability, Polyester knit that allows water vapor to escape so that your hands stay dry, Dexterity, Liner gloves that provide good hand dexterity. Please note: non-tactile, Quick dry, Their fleece material means these liner gloves dry quickly in the open air","Trek 100 Polyester Backpacking Liner Gloves | Designed by backpacking enthusiasts, these polyester liner gloves give you the warmth and durability you need for walking in cool weather., Their fleece material offers great durability and warmth for use in the spring and fall., Warmth, Thick fleece with a density of 5.6 oz/m² Heat level 1/5, Breathability, Polyester knit that allows water vapor to escape so that your hands stay dry, Dexterity, Liner gloves that provide good hand dexterity. Please note: non-tactile, Quick dry, Their fleece material means these liner gloves dry quickly in the open air",1,1,0
